host=0x400092 parent=0x1 top_level=true mapped=false depth=24 geom=(-1,-1 1x1) leaf_id=Some(DrawableId(109)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(109), offset: (0, 0) })
host=0x4000a2 parent=0x4000ab top_level=false mapped=true depth=32 geom=(0,0 26x27) leaf_id=Some(DrawableId(212)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(211), offset: (0, 0) })
host=0x4000ab parent=0x40007d top_level=false mapped=true depth=32 geom=(52,0 26x27) leaf_id=Some(DrawableId(210)) redirected_target=Some(DrawableId(211)) resolved=Some(PaintTarget { id: DrawableId(211), offset: (0, 0) })
host=0x4000bb parent=0x1 top_level=true mapped=false depth=24 geom=(-1,-1 1x1) leaf_id=Some(DrawableId(139)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(139), offset: (0, 0) })
host=0x4000bc parent=0x4000bd top_level=false mapped=true depth=32 geom=(0,0 26x27) leaf_id=Some(DrawableId(172)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(171), offset: (0, 0) })
host=0x4000bd parent=0x40007d top_level=false mapped=true depth=32 geom=(26,0 26x27) leaf_id=Some(DrawableId(170)) redirected_target=Some(DrawableId(171)) resolved=Some(PaintTarget { id: DrawableId(171), offset: (0, 0) })
host=0x4000c9 parent=0x1 top_level=true mapped=false depth=24 geom=(-1,-1 1x1) leaf_id=Some(DrawableId(150)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(150), offset: (0, 0) })
host=0x4000ea parent=0x4000ef top_level=false mapped=true depth=32 geom=(0,0 26x27) leaf_id=Some(DrawableId(228)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(227), offset: (0, 0) })
host=0x4000ef parent=0x40007d top_level=false mapped=true depth=32 geom=(0,0 26x27) leaf_id=Some(DrawableId(226)) redirected_target=Some(DrawableId(227)) resolved=Some(PaintTarget { id: DrawableId(227), offset: (0, 0) })
host=0x400102 parent=0x1 top_level=true mapped=false depth=24 geom=(-1,-1 1x1) leaf_id=Some(DrawableId(201)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(201), offset: (0, 0) })
host=0x400132 parent=0x1 top_level=true mapped=false depth=24 geom=(-1,-1 1x1) leaf_id=Some(DrawableId(237)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(237), offset: (0, 0) })
host=0x40014c parent=0x1 top_level=true mapped=true depth=24 geom=(0,0 5120x1440) leaf_id=Some(DrawableId(251)) redirected_target=Some(DrawableId(438)) resolved=Some(PaintTarget { id: DrawableId(438), offset: (0, 0) })
host=0x400152 parent=0x1 top_level=true mapped=false depth=24 geom=(-1,-1 1x1) leaf_id=Some(DrawableId(255)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(255), offset: (0, 0) })
host=0x4001d9 parent=0x400277 top_level=false mapped=true depth=32 geom=(1,31 543x172) leaf_id=Some(DrawableId(324)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(439), offset: (1, 31) })
host=0x400277 parent=0x1 top_level=true mapped=true depth=32 geom=(2287,619 545x204) leaf_id=Some(DrawableId(395)) redirected_target=Some(DrawableId(439)) resolved=Some(PaintTarget { id: DrawableId(439), offset: (0, 0) })
